text,label
太好哭了，心中TOP1！,10
前中期比较神神叨叨的，很多时候看不懂角色想要的诉求，只到进出岛了才终于搞清楚了，剧情也变得好看了，这一部我认为相较上一部来说更注重于政治与社会层面的探讨，和上一部各有优劣吧。这季度单元剧很少，可能是因为合田和久世这两个人的主线爆发了两个事件，好消息是补上了一点其他队员的个人回。总体来说也算是补偿了第一部的遗憾,9
补标，第一季没写什么就在这里感慨一下，sac里的很多东西真的是常看常新，不得不让人佩服其无与伦比的前瞻性,10
无论哪一个方面都是神作啊！,10
第二季的政治味道浓了很多，剧本的完成度简直离谱，并且对于社会系统的反思是划时代意义的，把一个后现代社会的种种弊病呈现给观众，并且塑造了一个个完全的人，神作无疑,10
不同于押井守执导的剧场版塞满了抽象、隐喻，弱化情节以强化哲思，TV版更加紧凑、悬疑，以事件驱动叙事，在主题方面侧重于社会结构、政治权力与技术伦理，而非像剧场版那样聚焦个体存在主义与意识本质。个人认为两部剧场版其实要比sac更优秀的，但是TV版融合了政治阴谋、社会议题与角色成长，更贴近大众娱乐需求。,10
“套着资本的皮，本质上还是理想的社会主义”最后的日本独立，难说。灵魂的ghost也能存在于网络之中吗？还是挺令人期待的。核独立还是能理解，毕竟现实也一样。001日圆级别的贪税，颇具现实意义。日本难民问题，就是预言级。再往下解析，就该进去了。,10
就算不习惯看这类型的也能给出较高的分数,8
“让阳光透过我的手掌我的热血鲜红地流淌”，核弹的尘埃落下，化作和平的雪，机械们的灵魂飘向深空，在世界的角落悄悄地洒下自己的星屑；虔诚的骑士挥舞着十字架，两个久别重逢的灵魂手握青苹果，在废墟深处相拥；“你能用义体折千纸鹤吗”“现在可以了”，但你却再也没有机会亲眼见证。或许，到最后的最后，StandAloneComplex既无关笑面男的幽灵，也无关个别十一人的陷阱，而是关于在这个冰冷、腐化的赛博地狱，每一个孤立的、匮乏的个体，在苟延残喘中，仍然得以将自己最后的温度，凝聚成这残缺世界的一寸光芒、一缕希望。以冷峻、深邃的政治寓言为外壳，这是一个有血性的故事，亦是关于Ghost的赞歌。,10
不如第一季，搞出一个久世英雄来搞个人英雄主义，素子的恋爱脑也使观感直线下滑，但瑕不掩瑜,9
补评分45依旧宏大的世界观。动画的画面比第一季进步很多。主题和第一季差别很大，涉及更多政治、外交的内容。剧情主线基本理解，但一些细节问题还是没看懂，尤其是结局部分，隐喻比较多。难民问题确实超前，但久世解放人类的方法不敢苟同，有种通过网络改变人类向下流的天性，以此创造美好乌托邦之感。反正主题方面我觉得还是第一季关于stayalonecomplex的哲学内容更有意思。,9
很难想象这是04年的作品，只能用神作来形容,10
剧情人物55伟大无需多言主旨33（放在日本动漫里）确实思考了不少东西音画表现22,10
低配版和平保卫战，第二季则是沿用了第一季的结论，并用现实主义的角度描述了日本的政治争斗，最终得到国家须倾尽一切也要独立自主的结论，所谓“无穷无尽的忧国之路”。做动漫高手如果不看攻壳机动队，那无疑是失败的,10
论综合质量sac2无疑是全年代TV的顶点，但这个系列只有题材我不喜欢，无论是押子的“鸭味”，还是神山的现实主义，以及Ghostintheshell本身在讨论的赛博朋克意志，后人类社会还有所谓正义这些我都很喜欢，但无论以何种形式沾上政治，我都会嗤之以鼻，这东西会给作品上枷锁，更会把其锁在一个合理的框架上，成为所谓的符号化。对于我来说讽刺的是如果会出现比sac2更优秀的动画的话，那么被政治锁住的社会将会解放吧？无论社会如何演变，全体意志和公共意志间存在巨大差别，前者顾及私人利益不过是个别意志的总和，但却能消弭个别意志中相互抵制的正反两面。而剩下的正面一直或反面意志即代表公共意志，而后者只考虑公共的意义。不过对于我来说，去除所有别的感受，自身存在的知觉基本身即为一种非常可贵的安宁，只在这种心境中寻求补偿，这不是命运或别人能夺走的。,9
唯一缺点是有点看不懂,9
在大学结束衔接工作的假期中刷完的，科幻的“壳”以及对内心的探讨都令我欲罢不能。它使我对我的工作（程序员，里面的设备亦或使用方式等都太炫酷了。现在看有种中古科幻的感觉）更热爱了一分，同时又推着我去阅读了《麦田里的守望者》《香蕉鱼》等著作对我的ghost有着重要的影响。,9
Ghost与身心、网络与肉体、奴隶国家与消费国家、个人主义与社会集体，不论是哪一个主题的内容都非常令人深刻，好看。,9
神开启一个时代，后生不知道他的功绩。,8
创作思路还是停留在“讲一个有深度的故事”这个茧房里，所以gig和很多佳作的区别也仅仅是剧情更好而已，但它缺乏真正有感染力的剧情，塔奇克马、久世素子线、巴特，有关他们的所谓的感人的桥段都显得有点刻意，欠缺灵性的叙事和深度优先的信条是导致这一结果的根本原因，时好时坏的演出和作画只能说相比一期有进步，无法对作品本身的上限带来实质性的提升,8
政治斗争冷酷严肃，剧情处理密切缝合。不愧是日本科幻的台柱级别，在如今人工智能时代反而愈发显现思想锋芒，给我这个科幻迷看爽了,10
要不是这部动画我也不会去学什么劳什子生物医学工程,10
